date,close,open,high,low,volume
2025-05-14,54.69,52.45,55.18,52.34,1577229.61
2025-05-15,54.25,54.39,54.8,54.1,569303.42
2025-05-16,53.39,54.05,54.44,53.38,466129.51
2025-05-19,53.3,53.29,53.73,53.2,324266.24
2025-05-20,53.68,53.45,54.18,53.4,352669.0
2025-05-21,53.85,53.7,54.4,53.7,333065.82
2025-05-22,53.84,53.76,53.99,53.53,240657.65
2025-05-23,53.23,53.81,54.46,53.17,430491.36
2025-05-26,53.4,53.16,54.15,53.0,388129.68
2025-05-27,53.4,53.4,53.86,53.3,255725.31
2025-05-28,53.29,53.4,53.69,53.12,261697.94
2025-05-29,53.52,53.3,53.83,53.09,348682.62
2025-05-30,53.28,53.37,53.69,52.85,417238.55
2025-06-03,53.85,53.21,54.11,53.0,453738.21
2025-06-04,53.76,53.61,54.15,53.61,430896.81
2025-06-05,53.99,53.77,54.18,53.66,419099.9
2025-06-06,53.41,54.0,54.12,53.35,408553.3
2025-06-09,53.72,53.55,53.94,53.5,397887.27
2025-06-10,53.43,53.71,54.1,53.31,467079.45
2025-06-11,54.46,53.4,54.65,53.4,681830.15
2025-06-12,54.81,54.3,55.33,54.03,589999.06
2025-06-13,54.48,54.83,54.9,54.28,480228.96
2025-06-16,54.32,54.33,54.58,54.06,496770.75
2025-06-17,54.23,54.3,54.51,53.94,506288.78
2025-06-18,53.81,54.18,54.28,53.3,469363.8
2025-06-19,53.2,53.69,53.8,53.12,401880.78
2025-06-20,54.74,53.19,54.86,53.19,847430.47
2025-06-23,55.1,54.5,55.25,54.26,614705.13
2025-06-24,56.79,55.21,56.97,55.2,1040797.89
2025-06-25,57.88,56.8,58.0,56.58,1046131.32
2025-06-26,57.58,57.79,58.08,57.47,500739.81
2025-06-27,56.96,57.58,58.13,56.61,667631.67
2025-06-30,55.48,55.5,55.95,55.13,564781.95
2025-07-01,55.7,55.66,55.89,55.3,352746.36
2025-07-02,55.81,55.7,56.01,55.35,395629.02
2025-07-03,55.8,55.9,56.2,55.66,325100.6
2025-07-04,56.57,55.7,57.39,55.43,654544.05
2025-07-07,56.43,56.59,56.8,56.06,321762.78
2025-07-08,56.45,56.4,56.78,56.11,343459.72
2025-07-09,55.9,56.45,56.78,55.88,395462.79
2025-07-10,57.13,55.9,57.58,55.81,828881.53
